# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       5.419390208474e-01      -2.798425991854e-02      -3.211057396284e+02      -4.517145927355e+02       0.000000000000e+00      -2.796938972559e-02      -4.177826892770e+02       6.992347431398e-03       6.992347431398e-03      -1.085481800708e-06       5.164039795792e-01       5.378354604497e-01                      nan      -1.061472108149e-06       5.138645503759e-01 
       5.450400439257e-01      -2.773547387031e-02      -3.219127088417e+02      -4.528356493348e+02       0.000000000000e+00      -2.772073572434e-02      -4.188211296417e+02       6.930183931086e-03       6.930183931086e-03      -1.075821177231e-06       5.176924216900e-01       5.391708865843e-01                      nan      -1.052024467398e-06       5.151414426314e-01 
       5.481410671241e-01      -2.749081051155e-02      -3.227390681800e+02      -4.539578703309e+02       0.000000000000e+00      -2.747620210381e-02      -4.198636091132e+02       6.869050525952e-03       6.869050525952e-03      -1.066316690472e-06       5.189908438831e-01       5.405114158275e-01                      nan      -1.042729063029e-06       5.164240134743e-01 
       5.512420904404e-01      -2.725008742640e-02      -3.235803578720e+02      -4.550804357123e+02       0.000000000000e+00      -2.723560658075e-02      -4.209087506315e+02       6.808901645187e-03       6.808901645187e-03      -1.056963799372e-06       5.202963731622e-01       5.418554334984e-01                      nan      -1.033581620223e-06       5.177105111477e-01 
       5.543431138726e-01      -2.701299241258e-02      -3.244296535662e+02      -4.562008399246e+02       0.000000000000e+00      -2.699863715886e-02      -4.219534161250e+02       6.749659289716e-03       6.749659289716e-03      -1.047750847168e-06       5.216032861266e-01       5.431986503796e-01                      nan      -1.024570873447e-06       5.189965839217e-01 
       5.574441374189e-01      -2.677922942751e-02      -3.252797329483e+02      -4.573167933190e+02       0.000000000000e+00      -2.676499799251e-02      -4.229945951718e+02       6.691249498128e-03       6.691249498128e-03      -1.038666043170e-06       5.229058860037e-01       5.445368726971e-01                      nan      -1.015685407926e-06       5.202779609808e-01 
       5.605451610773e-01      -2.654850714766e-02      -3.261233706944e+02      -4.584256759289e+02       0.000000000000e+00      -2.653439794823e-02      -4.240290088345e+02       6.633599487057e-03       6.633599487057e-03      -1.029698703531e-06       5.241984349798e-01       5.458657313847e-01                      nan      -1.006914898272e-06       5.215502241440e-01 
       5.636461848459e-01      -2.632070280111e-02      -3.269557325324e+02      -4.595269785790e+02       0.000000000000e+00      -2.630671434716e-02      -4.250554725214e+02       6.576678586791e-03       6.576678586791e-03      -1.020846532498e-06       5.254785502231e-01       5.471840524442e-01                      nan      -9.982572396792e-07       5.228120532917e-01 
       5.667472087230e-01      -2.609577821759e-02      -3.277737690047e+02      -4.606210598784e+02       0.000000000000e+00      -2.608190905819e-02      -4.260737906121e+02       6.520477264549e-03       6.520477264549e-03      -1.012111842448e-06       5.267457636479e-01       5.484922736013e-01                      nan      -9.897148353313e-07       5.240637262372e-01 
       5.698482327068e-01      -2.587373667395e-02      -3.285759118174e+02      -4.617087314431e+02       0.000000000000e+00      -2.585998536632e-02      -4.270843714320e+02       6.464996341579e-03       6.464996341579e-03      -1.003498228034e-06       5.280007525971e-01       5.497916410009e-01                      nan      -9.812913075043e-07       5.253063515366e-01 
       5.729492567955e-01      -2.565455999448e-02      -3.293614115644e+02      -4.627905108143e+02       0.000000000000e+00      -2.564092510708e-02      -4.280875153520e+02       6.410231276770e-03       6.410231276770e-03      -9.950063539063e-07       5.292440798178e-01       5.510829317585e-01                      nan      -9.729873413749e-07       5.265406426838e-01 
       5.760502809874e-01      -2.543815708970e-02      -3.301296272451e+02      -4.638659057532e+02       0.000000000000e+00      -2.542463723431e-02      -4.290827206579e+02       6.356159308577e-03       6.356159308577e-03      -9.866311249508e-07       5.304750520688e-01       5.523653333454e-01                      nan      -9.647979042475e-07       5.277658370999e-01 
       5.791513052809e-01      -2.522435530186e-02      -3.308798746999e+02      -4.649331271936e+02       0.000000000000e+00      -2.521094917040e-02      -4.300684264406e+02       6.302737292601e-03       6.302737292601e-03      -9.783618761818e-07       5.316914599243e-01       5.536361618758e-01                      nan      -9.567124436277e-07       5.289794286022e-01 
       5.822523296743e-01      -2.501302662736e-02      -3.316127837637e+02      -4.659909901385e+02       0.000000000000e+00      -2.499973296376e-02      -4.310437716396e+02       6.249933240941e-03       6.249933240941e-03      -9.701891457649e-07       5.328921054477e-01       5.548935535682e-01                      nan      -9.487215582036e-07       5.301797299732e-01 
       5.853533541661e-01      -2.480410102560e-02      -3.323303696690e+02      -4.670389054894e+02       0.000000000000e+00      -2.479091859080e-02      -4.320085998084e+02       6.197729647699e-03       6.197729647699e-03      -9.621069813557e-07       5.340771368158e-01       5.561367888047e-01                      nan      -9.408192935534e-07       5.313661862880e-01 
       5.884543787547e-01      -2.459763215837e-02      -3.330366921479e+02      -4.680779918177e+02       0.000000000000e+00      -2.458455966257e-02      -4.329644664325e+02       6.146139915642e-03       6.146139915642e-03      -9.541165781651e-07       5.352494638199e-01       5.573678481500e-01                      nan      -9.330067304877e-07       5.325408491730e-01 
